"Problem_Type","Instance_Type","Instance_ID","Correlation","Objectives","Variables","Constraints","Sparsity","Algorithm","Type_of_Operation","MIP_Emphasis","Type_of_Boost","Cplex_Heur","Parallelism","Total_Threads","Thread_ID","Master_Time","Slave_Time","IP_Solved","Num_Non_Dom_Pts","Num_Non_Dom_Pts_Found"
"BOAP","Hadi","1dat.txt",0.00582160969630467,2,40000,400,0.995,"EBBM","lex_min",true,"NB",true,false,1,1,1055.928978919983,0.0,1206.0,676.0,676.0
"BOAP","Hadi","1dat.txt",0.00582160969630467,2,40000,400,0.995,"UDECM","augmented_operation",false,"NB",true,false,1,1,12713.674753904343,0.0,678.0,676.0,676.0
"BOAP","Hadi","1dat.txt",0.00582160969630467,2,40000,400,0.995,"UDECM","dynamic",false,"NB",true,false,1,1,12593.769311904907,0.0,678.0,676.0,676.0
"BOAP","Hadi","1dat.txt",0.00582160969630467,2,40000,400,0.995,"UDECM","lex_min",false,"NB",true,false,1,1,1540.7012639045715,0.0,1352.0,676.0,676.0
"BOAP","Hadi","20dat.txt",-0.005795825849444213,2,90000,600,0.9966666666666667,"BBM","lex_min",false,"NB",true,false,1,1,7768.204364061356,0.0,3989.0,1827.0,1827.0
"BOAP","Hadi","20dat.txt",-0.005795825849444213,2,90000,600,0.9966666666666667,"EBBM","augmented_operation",false,"NB",true,false,1,1,6427.488285064697,0.0,1856.0,1827.0,1825.0
"BOAP","Hadi","20dat.txt",-0.005795825849444213,2,90000,600,0.9966666666666667,"EBBM","dynamic",false,"NB",true,false,1,1,5936.458941936493,0.0,2233.0,1827.0,1825.0
"BOAP","Hadi","20dat.txt",-0.005795825849444213,2,90000,600,0.9966666666666667,"EBBM","lex_min",false,"NB",true,false,1,1,7083.801126003265,0.0,3282.0,1827.0,1827.0
"BOAP","Hadi","20dat.txt",-0.005795825849444213,2,90000,600,0.9966666666666667,"EBBM","lex_min",true,"NB",true,false,1,1,7017.993999004364,0.0,3282.0,1827.0,1827.0
"BOAP","Hadi","20dat.txt",-0.005795825849444213,2,90000,600,0.9966666666666667,"UDECM","augmented_operation",false,"NB",true,false,1,1,33176.162518024445,0.0,1829.0,1827.0,1827.0
"BOAP","Hadi","20dat.txt",-0.005795825849444213,2,90000,600,0.9966666666666667,"UDECM","dynamic",false,"NB",true,false,1,1,33062.701447963715,0.0,1829.0,1827.0,1827.0
"BOAP","Hadi","20dat.txt",-0.005795825849444213,2,90000,600,0.9966666666666667,"UDECM","lex_min",false,"NB",true,false,1,1,7561.4101531505585,0.0,3654.0,1827.0,1827.0
"BOAP","Hadi","2dat.txt",0.0036566561619711846,2,40000,400,0.995,"BBM","lex_min",false,"NB",true,false,1,1,1172.5077500343323,0.0,1542.0,712.0,712.0
"BOAP","Hadi","2dat.txt",0.0036566561619711846,2,40000,400,0.995,"EBBM","augmented_operation",false,"NB",true,false,1,1,1612.1144409179688,0.0,715.0,712.0,712.0
"BOAP","Hadi","2dat.txt",0.0036566561619711846,2,40000,400,0.995,"EBBM","dynamic",false,"NB",true,false,1,1,1295.5115430355072,0.0,884.0,712.0,712.0
"BOAP","Hadi","2dat.txt",0.0036566561619711846,2,40000,400,0.995,"EBBM","lex_min",false,"NB",true,false,1,1,1013.1457340717316,0.0,1259.0,712.0,712.0
"BOAP","Hadi","2dat.txt",0.0036566561619711846,2,40000,400,0.995,"EBBM","lex_min",true,"NB",true,false,1,1,1044.3477971553802,0.0,1259.0,712.0,712.0
"BOAP","Hadi","2dat.txt",0.0036566561619711846,2,40000,400,0.995,"UDECM","augmented_operation",false,"NB",true,false,1,1,3361.9154670238495,0.0,714.0,712.0,712.0
"BOAP","Hadi","2dat.txt",0.0036566561619711846,2,40000,400,0.995,"UDECM","dynamic",false,"NB",true,false,1,1,3361.5499691963196,0.0,714.0,712.0,712.0
"BOAP","Hadi","2dat.txt",0.0036566561619711846,2,40000,400,0.995,"UDECM","lex_min",false,"NB",true,false,1,1,1436.4059031009674,0.0,1424.0,712.0,712.0
"BOAP","Hadi","3dat.txt",0.0004163324951820164,2,40000,400,0.995,"BBM","lex_min",false,"NB",true,false,1,1,1149.9658789634705,0.0,1516.0,698.0,698.0
"BOAP","Hadi","3dat.txt",0.0004163324951820164,2,40000,400,0.995,"EBBM","augmented_operation",false,"NB",true,false,1,1,959.9842040538788,0.0,711.0,698.0,698.0
"BOAP","Hadi","3dat.txt",0.0004163324951820164,2,40000,400,0.995,"EBBM","dynamic",false,"NB",true,false,1,1,983.1961901187897,0.0,861.0,698.0,698.0
"BOAP","Hadi","3dat.txt",0.0004163324951820164,2,40000,400,0.995,"EBBM","lex_min",false,"NB",true,false,1,1,1007.0548350811005,0.0,1249.0,698.0,698.0
"BOAP","Hadi","3dat.txt",0.0004163324951820164,2,40000,400,0.995,"EBBM","lex_min",true,"NB",true,false,1,1,995.9340250492096,0.0,1249.0,698.0,698.0
"BOAP","Hadi","3dat.txt",0.0004163324951820164,2,40000,400,0.995,"UDECM","augmented_operation",false,"NB",true,false,1,1,3060.609274864197,0.0,700.0,698.0,698.0
"BOAP","Hadi","3dat.txt",0.0004163324951820164,2,40000,400,0.995,"UDECM","dynamic",false,"NB",true,false,1,1,3048.486069917679,0.0,700.0,698.0,698.0
"BOAP","Hadi","3dat.txt",0.0004163324951820164,2,40000,400,0.995,"UDECM","lex_min",false,"NB",true,false,1,1,1571.2229781150818,0.0,1396.0,698.0,698.0
"BOAP","Hadi","4dat.txt",-0.004428681866479851,2,40000,400,0.995,"BBM","lex_min",false,"NB",true,false,1,1,1243.570375919342,0.0,1639.0,753.0,753.0
"BOAP","Hadi","4dat.txt",-0.004428681866479851,2,40000,400,0.995,"EBBM","augmented_operation",false,"NB",true,false,1,1,1383.790783882141,0.0,756.0,753.0,753.0
"BOAP","Hadi","4dat.txt",-0.004428681866479851,2,40000,400,0.995,"EBBM","dynamic",false,"NB",true,false,1,1,948.2324659824371,0.0,913.0,753.0,753.0
"BOAP","Hadi","4dat.txt",-0.004428681866479851,2,40000,400,0.995,"EBBM","lex_min",false,"NB",true,false,1,1,1090.1772770881653,0.0,1336.0,753.0,753.0
"BOAP","Hadi","4dat.txt",-0.004428681866479851,2,40000,400,0.995,"EBBM","lex_min",true,"NB",true,false,1,1,1086.0577590465546,0.0,1336.0,753.0,753.0
"BOAP","Hadi","4dat.txt",-0.004428681866479851,2,40000,400,0.995,"UDECM","augmented_operation",false,"NB",true,false,1,1,6049.400413990021,0.0,755.0,753.0,753.0
"BOAP","Hadi","4dat.txt",-0.004428681866479851,2,40000,400,0.995,"UDECM","dynamic",false,"NB",true,false,1,1,6036.035213947296,0.0,755.0,753.0,753.0
"BOAP","Hadi","4dat.txt",-0.004428681866479851,2,40000,400,0.995,"UDECM","lex_min",false,"NB",true,false,1,1,1596.363207101822,0.0,1506.0,753.0,753.0
